Trial,Track Layout,Vehicle,ID,Speed,Lane,Battery Level,Average Velocity
6,oval,MXT,-451518201,264,3,3751,30.164957777469642
7,oval,MXT,-451518201,259,3,3744,30.130719883602232
7,oval,MXT,-1052728562,253,1,3732,29.614551311202522
8,oval,MXT,-451518201,262,3,3741,30.17339563974653
8,oval,MXT,-1052728562,243,1,3727,30.504747888305452
9,oval,MXT,-1052728562,251,1,3735,29.933280309100404
9,oval,MXT,-451518201,247,0,3739,26.391784000737946
10,oval,MXT,-451518201,261,3,3742,30.207412988730418
10,oval,MXT,-1052728562,245,1,3720,29.831484895786957
11,oval,MXT,-451518201,250,0,0,26.40474005002875
11,oval,MXT,-1052728562,269,1,3725,30.0787759839605
12,oval,MXT,-1052728562,250,1,3723,29.101125664432757
12,oval,MXT,-451518201,259,3,3729,30.142161675708202
13,oval,MXT,-451518201,258,3,3726,30.11858803698608
13,oval,MXT,-1052728562,253,1,3713,30.51971905599223
14,oval,MXT,-451518201,263,3,3723,30.105211887166053
14,oval,MXT,-1052728562,261,1,3720,28.93466666017582
15,oval,MXT,-1052728562,257,1,3709,29.442431917388948
15,oval,MXT,-451518201,261,3,3821,30.157677304984624
16,oval,MXT,-1052728562,249,1,3707,30.24895655750659
16,oval,MXT,-451518201,250,0,3716,26.530061751833212
17,oval,MXT,-1052728562,245,1,0,29.916041793794108
17,oval,MXT,-451518201,259,3,0,30.17584112139614
18,oval,MXT,-1052728562,256,0,3704,24.68097143558018
18,oval,MXT,-451518201,258,3,3761,30.085934263770042
19,oval,MXT,-1052728562,246,1,3758,29.59924402876998
19,oval,MXT,-451518201,254,3,3717,30.124630055656855
20,oval,MXT,-451518201,268,3,3699,30.190826570590424
20,oval,MXT,-1052728562,259,1,3706,29.257733583398814
21,oval,MXT,-1052728562,247,1,3709,30.085289569914988
21,oval,MXT,-451518201,254,3,0,30.089008687187185
22,oval,MXT,-1052728562,264,1,3695,29.463164261188354
22,oval,MXT,-451518201,270,3,3715,30.176666271243157
23,oval,MXT,-1052728562,250,1,3701,30.21460813951915
23,oval,MXT,-451518201,242,0,3707,26.33685013531846
24,oval,MXT,-451518201,266,3,3702,30.17429988005976
24,oval,MXT,-1052728562,256,1,3694,30.80310190039146
25,oval,MXT,-1052728562,252,1,3687,29.869782178755585
25,oval,MXT,-451518201,268,3,0,30.13571473452862
26,oval,MXT,-1052728562,261,1,3688,29.54939582502936
26,oval,MXT,-451518201,266,3,3685,30.15783699036164
27,oval,MXT,-451518201,267,3,3681,30.173102924362258
27,oval,MXT,-1052728562,240,1,3687,30.076010982079055
28,oval,MXT,-451518201,263,3,3677,30.164010479959025
28,oval,MXT,-1052728562,261,1,3683,29.409740833831872
29,oval,MXT,-1052728562,259,1,3703,29.113308007830323
29,oval,MXT,-451518201,263,3,3678,30.171618746541707
30,oval,MXT,-451518201,267,3,3672,30.19014857208125
30,oval,MXT,-1052728562,258,1,3680,30.494069330170817
1,figure-8,CHARGER,623596553,514,1,0,55.12465157354394
1,figure-8,CHARGER,725373961,537,3,3819,55.851661553543934
2,figure-8,CHARGER,623596553,478,1,3933,55.25666512413075
2,figure-8,CHARGER,725373961,477,3,3730,55.646456935979685
3,figure-8,CHARGER,725373961,480,3,0,55.59840264899029
3,figure-8,CHARGER,623596553,487,1,3927,55.25413020044413
4,figure-8,CHARGER,725373961,498,3,3721,55.548247654891824
4,figure-8,CHARGER,623596553,478,1,0,55.19890374472719
5,figure-8,CHARGER,623596553,481,1,3912,55.12500619356791
5,figure-8,CHARGER,725373961,489,3,3773,55.5172598423342
6,figure-8,CHARGER,725373961,495,3,3709,55.60170559421826
6,figure-8,CHARGER,623596553,492,1,3916,55.18553602556533
7,figure-8,CHARGER,623596553,492,1,3907,55.153383376952135
7,figure-8,CHARGER,725373961,500,0,3712,50.51491066485435
8,figure-8,CHARGER,623596553,488,1,3901,55.000223737855286
8,figure-8,CHARGER,725373961,501,0,3704,50.72569082698562
9,figure-8,CHARGER,725373961,497,3,3736,55.481059322222606
9,figure-8,CHARGER,623596553,477,1,3889,55.11115092574565
10,figure-8,CHARGER,623596553,499,1,3884,55.62131767713886
10,figure-8,CHARGER,725373961,513,3,3710,55.555406326363126
11,figure-8,CHARGER,623596553,478,1,3895,55.12733245654393
11,figure-8,CHARGER,725373961,482,3,3687,55.53536104003508
12,figure-8,CHARGER,725373961,482,0,3691,50.8078072560383
12,figure-8,CHARGER,623596553,478,1,0,55.182674786084014
13,figure-8,CHARGER,623596553,508,1,3869,55.1772385059707
13,figure-8,CHARGER,725373961,536,3,3682,55.490166022984916
14,figure-8,CHARGER,725373961,489,0,3678,50.73255587107621
14,figure-8,CHARGER,623596553,494,1,3865,55.04101104258251
15,figure-8,CHARGER,725373961,468,3,3672,55.62318746782901
15,figure-8,CHARGER,623596553,484,1,3862,55.218697891564084
16,figure-8,CHARGER,623596553,494,1,3854,54.1151992965738
16,figure-8,CHARGER,725373961,514,3,3689,55.53716060283656
17,figure-8,CHARGER,725373961,490,3,3663,55.56096376978971
17,figure-8,CHARGER,623596553,477,1,3876,54.96559894301598
18,figure-8,CHARGER,725373961,481,3,3659,55.542279248905174
18,figure-8,CHARGER,623596553,486,1,3851,55.22585698337911
19,figure-8,CHARGER,623596553,509,1,3852,55.10002684992281
19,figure-8,CHARGER,725373961,474,3,3690,55.50550464738479
20,figure-8,CHARGER,725373961,495,0,3657,50.41624957665105
20,figure-8,CHARGER,623596553,487,1,3840,55.07162649914034
